Index,KOD_FASILITI,STATUS,SEKTOR,SUBSEKTOR,PROGRAM_GROUP,NEGERI,DAERAH,KATEGORI_FASILITI,JENIS_FASILITI,NAMA,ALAMAT,BANDAR,POSKOD,DAERAH_PENTADBIRAN,TELEFON,EMEL,URBAN_RURAL,LATITUD,LONGITUD
1236,21-10072301,BUKA,AWAM,KKM,,SELANGOR,SEPANG,KLINIK,KLINIK KESIHATAN,KK CYBERJAYA,"D/A ASRAMA JURURAWAT HOSPITAL CYBERJAYA, PERSIARAN MULTIMEDIA, CYBER 11, 63000 CYBER",,63000,,,,,2.9211529,101.6324149
1237,21-10040053,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK KESIHATAN,KK PULAU KETAM,"PT 14208, JALAN MERDEKA, PULAU KETAM, KLANG",,42490,,,,,3.0186117,101.2529317
1238,21-10040160,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK KESIHATAN,KK RANTAU PANJANG,"JALAN RANTAU PANJANG, KLANG",,41400,,,,,3.0638769,101.4103358
1239,21-10040271,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK KESIHATAN,KK BUKIT NAGA,"SEKSYEN 32, SHAH ALAM",,42450,,,,,3.0034778,101.5053235
1240,21-10040175,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK KESIHATAN,KK SUNGAI BERTIK,JALAN TEPI SUNGAI,,41100,,,,,3.0490018,101.4277182
1241,21-10050032,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK KESIHATAN,KK BUKIT CHANGGANG,"JALAN LABOHAN DAGANG, BANTING",,42700,,,,,2.8272363,101.6206584
1242,21-10050037,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK KESIHATAN,KK JENJAROM,"JENJOROM, KUALA LANGAT, JALAN BESAR, BANTING",,42700,,,,,2.8784422,101.5004496
1243,21-10050028,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK KESIHATAN,KK KAMPUNG BANDAR,"JALAN KURAU, BANTING",,42700,,,,,2.8514869,101.444301
1244,21-10050064,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK KESIHATAN,KK SIJANGKANG,"JLN SEKOLAH, BATU 1, KG SIJANGKANG",,42500,,,,,2.9414953,101.4562351
1245,21-10050074,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK KESIHATAN,KK TANJUNG SEPAT,TANJUNG SEPAT,,42700,,,,,2.6655523,101.5514679
1246,21-10050075,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK KESIHATAN,KK TELOK DATOK,"JLN PEGAWAI, BANTING",,42700,,,,,2.8193319,101.5174237
1247,21-10050076,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK KESIHATAN,KK TELOK PANGLIMA GARANG,"TELUK PANGLIMA GARANG, KUALA LANGAT",,42500,,,,,2.9049166,101.4675504
1248,21-10050130,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK KESIHATAN,KK KAMPUNG SUNGAI LANG,"BANTING, SELANGOR",,42700,,,,,2.7907919,101.5217802
1249,21-10050087,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK KESIHATAN,KK KEBUN BARU,"JALAN DATO KASMAN, KEBUN BARU, TELUK PANGLIMA GARANG",,42500,,,,,2.9121634,101.4880083
1250,21-10050278,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK KESIHATAN,KK KANCHONG DARAT,"JALAN DURIAN, KANCHONG DARAT",,42700,,,,,2.788946,101.4884299
1251,21-10060029,BUKA,AWAM,KKM,,SELANGOR,KUALA SELANGOR,KLINIK,KLINIK KESIHATAN,KK BESTARI JAYA,LOT 1867 JALAN KAMPONG,,45600,,,,,3.3797279,101.4070519
1252,21-10060036,BUKA,AWAM,KKM,,SELANGOR,KUALA SELANGOR,KLINIK,KLINIK KESIHATAN,KK IJOK,"JKR 1087 JALAN SIMPANG TIGA, IJOK",,45600,,,,,3.314692,101.416491
1253,21-10060038,BUKA,AWAM,KKM,,SELANGOR,KUALA SELANGOR,KLINIK,KLINIK KESIHATAN,KK JERAM,JERAM,,45800,,,,,3.233009,101.315069
1254,21-10060045,BUKA,AWAM,KKM,,SELANGOR,KUALA SELANGOR,KLINIK,KLINIK KESIHATAN,KK KUALA SELANGOR,"JALAN KLINIK, KUALA SELANGOR",,45000,,,,,3.3369251,101.2499507
1255,21-10060073,BUKA,AWAM,KKM,,SELANGOR,KUALA SELANGOR,KLINIK,KLINIK KESIHATAN,KK TANJONG KARANG,"JALAN SUNGAI KAJANG, TANJUNG KARANG",,45500,,,,,3.421166,101.1737351
1256,21-10060190,BUKA,AWAM,KKM,,SELANGOR,KUALA SELANGOR,KLINIK,KLINIK KESIHATAN,KK SUNGAI TENGI KANAN,"JALAN KIAI HJ MOID, KAMPUNG SUNGAI TENGI KANAN, TANJONG KARANG",,45500,,,,,3.4391322,101.201154
1257,21-10060099,BUKA,AWAM,KKM,,SELANGOR,KUALA SELANGOR,KLINIK,KLINIK KESIHATAN,KK BUKIT CHERAKAH,"JALAN RIZAB MASJID, KG BUKIT CHERAKAH, JERAM",,45800,,,,,3.2723794,101.3650889
1258,21-10070043,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KESIHATAN,KK KELANA JAYA,"LOT.38294, JLN SS6/3A KELANA JAYA",,47301,,,,,3.0989691,101.6005755
1259,21-10070051,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KESIHATAN,KK PUCHONG,"BATU 14, JALAN PUCHONG, PUCHONG",,47100,,,,,2.9940808,101.619711
1260,21-10070248,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KESIHATAN,KK SEKSYEN 19,"JALAN GELORA 19/46, SEKSYEN 19 
SHAH ALAM",,40300,,,,,3.0497738,101.5329147
1261,21-10070063,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KESIHATAN,KK SEKSYEN 7 SHAH ALAM,"NO.2 PERSIARAN KAYANGAN SEKSYEN 7, SHAH ALAM",,40000,,,,,3.0722935,101.4909369
1262,21-10070062,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KESIHATAN,KK SERI KEMBANGAN,"JALAN BESAR, SERI KEMBANGAN",,43300,,,,,3.0276261,101.71157
1263,21-10070088,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KESIHATAN,KK BATU 13 1/2 PUCHONG,BATU 13 1/2 PUCHONG,,47800,,,,,3.0209441,101.5926069
1264,21-10070206,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KESIHATAN,KK TAMAN MEDAN,"JLN PJS 2C/5 TAMAN DATO HARUN, PETALING",,46000,,,,,3.079249,101.6344939
1265,21-10070270,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KESIHATAN,KK PAYA JARAS,"BT.15 SUNGAI BULOH, SG BULOH",,47000,,,,,3.2002743,101.5513626
1266,21-10070767,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KESIHATAN,KK KOTA DAMANSARA,"NO. 58 TINGKAT 3, JALAN PEKAKA 8/3, KOTA DAMANSARA",,47810,,,,,3.1765223,101.575651
1267,21-10070771,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KESIHATAN,KK UTC SELANGOR,"LOT G, ANGGERIK MALL, JALAN 14/7, SEKSYEN 14",,40000,,,,,3.0713913,101.5196124
1268,21-10080027,BUKA,AWAM,KKM,,SELANGOR,SABAK BERNAM,KLINIK,KLINIK KESIHATAN,KK BAGAN TERAP,"JALAN BAGAN TERAP, SUNGAI BESAR",,45300,,,,,3.7487983,101.0606123
1269,21-10080049,BUKA,AWAM,KKM,,SELANGOR,SABAK BERNAM,KLINIK,KLINIK KESIHATAN,KK PARIT BARU,"JALAN MASJID, SUNGAI AIR TAWAR",,45100,,,,,3.8167961,100.8434878
1270,21-10080058,BUKA,AWAM,KKM,,SELANGOR,SABAK BERNAM,KLINIK,KLINIK KESIHATAN,KK SEKINCHAN,"JALAN PEKAN, SEKINCAN, SABAK BERNAM",,45400,,,,,3.509767,101.1023805
1271,21-10080067,BUKA,AWAM,KKM,,SELANGOR,SABAK BERNAM,KLINIK,KLINIK KESIHATAN,KK SUNGAI BESAR,"JALAN SUNGAI LIMAU, SUNGAI BESAR",,45300,,,,,3.6730772,100.9840765
1272,21-10080066,BUKA,AWAM,KKM,,SELANGOR,SABAK BERNAM,KLINIK,KLINIK KESIHATAN,KK SUNGAI AIR TAWAR,"JLN SEKOLAH, SUNGAI AIR TAWAR, SABAK BERNAM",,45100,,,,,3.8403982,100.9046717
1273,21-10080239,BUKA,AWAM,KKM,,SELANGOR,SABAK BERNAM,KLINIK,KLINIK KESIHATAN,KK MERBAU BERDARAH,"JALAN SUNGAI PANJANG, SABAK BERNAM",,45300,,,,,3.7132903,101.1264497
1274,21-10080295,BUKA,AWAM,KKM,,SELANGOR,SABAK BERNAM,KLINIK,KLINIK KESIHATAN,KK SABAK BERNAM,"JALAN RAJA CHULAN, SABAK BERNAM",,45200,,,,,3.7701864,100.9843063
1275,21-10080761,BUKA,AWAM,KKM,,SELANGOR,SABAK BERNAM,KLINIK,KLINIK KESIHATAN,KK SIMPANG LIMA,"KLINIK KESIHATAN SIMPANG 5, SUNGAI BESAR",,45300,,,,,3.6261286,101.0510307
1276,21-10090034,BUKA,AWAM,KKM,,SELANGOR,SEPANG,KLINIK,KLINIK KESIHATAN,KK DENGKIL,"JALAN BESAR DENGKIL, DENGKIL, SEPANG",,43800,,,,,2.859256,101.681787
1277,21-10090057,BUKA,AWAM,KKM,,SELANGOR,SEPANG,KLINIK,KLINIK KESIHATAN,KK SALAK,"JALAN SALAK, SEPANG",,43900,,,,,2.7895199,101.7491886
1278,21-10090069,BUKA,AWAM,KKM,,SELANGOR,SEPANG,KLINIK,KLINIK KESIHATAN,KK SUNGAI PELEK,"JALAN SG PELEK, SEPANG",,43950,,,,,2.6446353,101.7185045
1279,21-10090272,BUKA,AWAM,KKM,,SELANGOR,SEPANG,KLINIK,KLINIK KESIHATAN,KK SEPANG,"JALAN KELAB, SEPANG",,43900,,,,,2.6893628,101.7501281
1280,21-10010243,BUKA,AWAM,KKM,,SELANGOR,GOMBAK,KLINIK,KLINIK KOMUNITI,KKOM TAMAN GOMBAK PERMAI,"NO 1G, JALAN GP 2A, TAMAN GOMBAK PERMAI, BATU CAVES",,68100,,,,,3.2514341,101.6872693
1281,21-10010288,BUKA,AWAM,KKM,,SELANGOR,GOMBAK,KLINIK,KLINIK KOMUNITI,KKOM BANDAR TASIK PUTERI,NO.27-G JALAN HIJAU 5/3 GREEN VALLEY PARK BANDAR TASIK PUTERI,,48010,,,,,3.280533,101.4651715
1282,21-10020293,BUKA,AWAM,KKM,,SELANGOR,HULU LANGAT,KLINIK,KLINIK KOMUNITI,KKOM TAMAN SRI WATAN,"NO.4G & 4A, JLN WATAN 8, 
TAMAN SRI WATAN",,68000,,,,,3.1394046,101.7725672
1283,21-10020286,BUKA,AWAM,KKM,,SELANGOR,HULU LANGAT,KLINIK,KLINIK KOMUNITI,KKOM TAMAN IMPIAN EHSAN,"NO 15, JALAN BALAKONG JAYA 2, TAMAN INDUSTRI BALAKONG JAYA",,43200,,,,,3.018758,101.7544162
1284,21-10030251,BUKA,AWAM,KKM,,SELANGOR,HULU SELANGOR,KLINIK,KLINIK KOMUNITI,KKOM BATANG KALI,"NO 9, GROUND FLOOR, JALAN MAHOGANI, 2A/7, BANDAR UTAMA, BATANG KALI",,44300,,,,,3.45874,101.662884
1285,21-10030246,BUKA,AWAM,KKM,,SELANGOR,HULU SELANGOR,KLINIK,KLINIK KOMUNITI,KKOM BUKIT BERUNTUNG,"C-G-01, APARTMENT KENANGA, TAMAN BUNGA RAYA, BUKIT BERUNTUNG",,48000,,,,,3.44077,101.551644
1286,21-10030245,BUKA,AWAM,KKM,,SELANGOR,HULU SELANGOR,KLINIK,KLINIK KOMUNITI,KKOM BUKIT SENTOSA,"NO.13 JALAN SEROJA 1B, BUKIT SENTOSA",,48000,,,,,3.417229,101.577701
1289,21-10040255,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK KOMUNITI,KKOM KG DELEK KANAN,"NO.94, TAMAN DAHLIA, JALAN LURAH SAID 1, KG DELEK KANAN",,41250,,,,,3.0356753,101.4073706
1290,21-10050282,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK KOMUNITI,KKOM BANDAR SAUJANA PUTRA,"NO.79 JALAN SPU 2, BANDAR SAUJANA PUTRA",,42160,,,,,2.9530018,101.5802209
1292,21-10060244,BUKA,AWAM,KKM,,SELANGOR,KUALA SELANGOR,KLINIK,KLINIK KOMUNITI,KKOM BANDAR PUNCAK ALAM,"NO.105, JALAN CAKERAPURNAMA, 12/2 SEKSYEN 12, BANDAR BARU PUNCAK ALAM",,42300,,,,,3.242611,101.4247519
1293,21-10060291,BUKA,AWAM,KKM,,SELANGOR,KUALA SELANGOR,KLINIK,KLINIK KOMUNITI,KKOM SAUJANA UTAMA,"NO. 6 & 8 (GROUND FLOOR), 
JALAN BIDARA 6/2",,47000,,,,,3.206441,101.4772587
1295,21-10070257,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KOMUNITI,KKOM KAYU ARA DAMANSARA,"G-G1 BLOK G, PANGSAPURI PELANGI ARA, PJU 6A, JALAN TERATAI, PETALING JAYA",,47400,,,,,3.1385663,101.6152543
1296,21-10070256,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KOMUNITI,KKOM TAMAN PUCHONG PERMAI,"F6-0-01, JALAN PERMAI 2/3, BLOK F6, TAMAN PUCHONG PERMAI, PUCHONG",,47100,,,,,3.0122081,101.5973964
1299,21-10070718,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KOMUNITI,KKOM BUKIT LANCHONG SHAH ALAM,"NO.103, JLN. PENDAMAR 27/90, SHAH ALAM",,40400,,,,,2.9882048,101.5563705
1300,21-10070772,BUKA,AWAM,KKM,,SELANGOR,PETALING,KLINIK,KLINIK KOMUNITI,KKOM GUGUSAN SEMARAK 2,"TINGKAT BAWAH GUGUSAN SEMARAK 2, 
JALAN CAMAR 4/1",,47810,,,,,3.1532133,101.5805172
1301,21-10080283,BUKA,AWAM,KKM,,SELANGOR,SABAK BERNAM,KLINIK,KLINIK KOMUNITI,KKOM TAMAN PADU PERMAI,"NO 13A, JALAN PP1/2, TAMAN PADU PERMAI",,45300,,,,,3.6632514,100.9879745
1302,21-10090285,BUKA,AWAM,KKM,,SELANGOR,SEPANG,KLINIK,KLINIK KOMUNITI,KKOM BANDAR BARU SALAK TINGGI,"NO F18-1, FASA KOMPLEKS BANDAR BARU SALAK TINGGI",,43900,,,,,2.8127755,101.7378428
1303,21-10090281,BUKA,AWAM,KKM,,SELANGOR,SEPANG,KLINIK,KLINIK KOMUNITI,KKOM PANTAI SEPANG PUTRA,"NO 6, JALAN PERLING, PANTAI SEPANG PUTRA, SUNGAI PELEK",,43950,,,,,2.6238088,101.7072089
1304,21-10090297,BUKA,AWAM,KKM,,SELANGOR,SEPANG,KLINIK,KLINIK KOMUNITI,KKOM TAMAN PUTRA PERDANA,"NO.54, JALAN PUTRA PERDANA 2/2, TAMAN PUTRA PERDANA, PUCHONG",,47120,,,,,2.9474229,101.618927
1305,21-10010124,BUKA,AWAM,KKM,,SELANGOR,GOMBAK,KLINIK,KLINIK DESA,KD KAMPUNG KENANGA,"JKR-1, JALAN IPOH KG BARU",,48050,,,,,3.2501417,101.6499414
1306,21-10010138,BUKA,AWAM,KKM,,SELANGOR,GOMBAK,KLINIK,KLINIK DESA,KD KUNDANG,"JALAN SEKOLAH, KUNDANG, RAWANG",,48050,,,,,3.2769931,101.5127651
1307,21-10010165,BUKA,AWAM,KKM,,SELANGOR,GOMBAK,KLINIK,KLINIK DESA,KD SELAYANG BARU,"JALAN 9 SELAYANG BARU, BATU CAVES",,68100,,,,,3.2458268,101.6704897
1308,21-10010185,BUKA,AWAM,KKM,,SELANGOR,GOMBAK,KLINIK,KLINIK DESA,KD SUNGAI SERAI,"LORONG SERAI 2, KG SUNGAI SERAI, KUANG, RAWANG",,48050,,,,,3.2816439,101.5451834
1309,21-10020085,BUKA,AWAM,KKM,,SELANGOR,HULU LANGAT,KLINIK,KLINIK DESA,KD BANGI LAMA,"JALAN BESAR BANGI, KAJANG",,43000,,,,,2.967347,101.757526
1310,21-10020089,BUKA,AWAM,KKM,,SELANGOR,HULU LANGAT,KLINIK,KLINIK DESA,KD BATU 18,BATU 18,,43200,,,,,3.1638062,101.8472795
1311,21-10020095,BUKA,AWAM,KKM,,SELANGOR,HULU LANGAT,KLINIK,KLINIK DESA,KD BROGA,"BROGA, SEMENYIH",,43500,,,,,2.93669,101.9111479
1312,21-10020105,BUKA,AWAM,KKM,,SELANGOR,HULU LANGAT,KLINIK,KLINIK DESA,KD DUSUN TUA,BATU 16,,43200,,,,,3.1391067,101.8334686
1313,21-10020114,BUKA,AWAM,KKM,,SELANGOR,HULU LANGAT,KLINIK,KLINIK DESA,KD KAMPONG PADANG,HULU LANGAT,,43100,,,,,3.194881,101.856047
1314,21-10020161,BUKA,AWAM,KKM,,SELANGOR,HULU LANGAT,KLINIK,KLINIK DESA,KD RINCHING HILIR,"RINCHING HILIR, SEMENYIH",,43000,,,,,2.9011971,101.8122432
1315,21-10020188,BUKA,AWAM,KKM,,SELANGOR,HULU LANGAT,KLINIK,KLINIK DESA,KD SUNGAI TEKALI,SUNGAI TEKALI,,43200,,,,,3.1069634,101.858032
1316,21-10020221,BUKA,AWAM,KKM,,SELANGOR,HULU LANGAT,KLINIK,KLINIK DESA,KD SUNGAI LALANG,"SUNGAI LALANG, SEMENYIH",,43500,,,,,2.959536,101.8458098
1317,21-10020222,BUKA,AWAM,KKM,,SELANGOR,HULU LANGAT,KLINIK,KLINIK DESA,KD MINANGKABAU,"MINANGKABAU, BERANANG",,43700,,,,,2.9043711,101.8549588
1318,21-10020229,BUKA,AWAM,KKM,,SELANGOR,HULU LANGAT,KLINIK,KLINIK DESA,KD SUNGAI RAMAL LUAR,"JALAN MENTRI, SG RAMAL LUAR, KAJANG",,43000,,,,,2.9899594,101.7661366
1319,21-10020230,BUKA,AWAM,KKM,,SELANGOR,HULU LANGAT,KLINIK,KLINIK DESA,KD SUNGAI LUI,BT 21,,43200,,,,,3.1629009,101.8867913
1320,21-10030086,BUKA,AWAM,KKM,,SELANGOR,HULU SELANGOR,KLINIK,KLINIK DESA,KD BATANG KALI,"BATANG KALI, HULU SELANGOR",,44300,,,,,3.4601368,101.6550138
1321,21-10030107,BUKA,AWAM,KKM,,SELANGOR,HULU SELANGOR,KLINIK,KLINIK DESA,KD GEDANGSA,"FELDA GEDANGSA, KUALA KUBU BARU",,44010,,,,,3.6124515,101.4254509
1322,21-10030108,BUKA,AWAM,KKM,,SELANGOR,HULU SELANGOR,KLINIK,KLINIK DESA,KD GENTING MALEK,GENTING MALEK,,44300,,,,,3.4666257,101.6639027
1323,21-10030111,BUKA,AWAM,KKM,,SELANGOR,HULU SELANGOR,KLINIK,KLINIK DESA,KD HULU RENING,HULU RENING,,44300,,,,,3.4854787,101.6972568
1324,21-10030136,BUKA,AWAM,KKM,,SELANGOR,HULU SELANGOR,KLINIK,KLINIK DESA,KD KERLING,KERLING,,44300,,,,,3.4081955,101.6840589
1325,21-10030137,BUKA,AWAM,KKM,,SELANGOR,HULU SELANGOR,KLINIK,KLINIK DESA,KD KG GURNEY,KAMPUNG GURNEY,,44300,,,,,3.4259612,101.6613677
1326,21-10030189,BUKA,AWAM,KKM,,SELANGOR,HULU SELANGOR,KLINIK,KLINIK DESA,KD SUNGAI TENGI,HULU SELANGOR,,45500,,,,,3.647573,101.4166199
1327,21-10030191,BUKA,AWAM,KKM,,SELANGOR,HULU SELANGOR,KLINIK,KLINIK DESA,KD SUNGAI TENGI SELATAN,KUALA KUBU BARU,,45500,,,,,3.565293,101.4347761
1328,21-10030202,BUKA,AWAM,KKM,,SELANGOR,HULU SELANGOR,KLINIK,KLINIK DESA,KD ULU YAM LAMA,BATANG KALI,,44300,,,,,3.45148,101.6439163
1331,21-10040091,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK DESA,KD BATU BELAH KLANG,235 JALAN ISTIMEWA,,42100,,,,,3.071928,101.4381236
1332,21-10040100,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK DESA,KD BUKIT KAPAR,"JALAN ISKANDAR, KAPAR",,42200,,,,,3.1621017,101.4181245
1333,21-10040112,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK DESA,KD JALAN KEBUN,"BATU 7, JALAN KEBUN",,42450,,,,,2.9793422,101.5069755
1334,21-10040122,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK DESA,KD KAMPUNG JAWA,"BATU 2, JALAN SYAHBANDARAYA",,41000,,,,,3.0248905,101.4649874
1335,21-10040128,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK DESA,KD KAMPUNG PENDAMAR,"JKR 12294, KAMPUNG PENDAMAR",,41200,,,,,3.0140686,101.4167967
1336,21-10040133,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK DESA,KD KAMPUNG TOK MUDA,"BATU 12 1/2, KAMPUNG TOK MUDA",,42200,,,,,3.1441601,101.3541468
1337,21-10040145,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK DESA,KD PADANG JAWA,5317 JALAN PADANG,,41300,,,,,3.0533695,101.4900321
1338,21-10040166,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK DESA,KD SEMENTA,"BATU 6, JALAN SEMENTA, JALAN KAPAR KAPAR",,41400,,,,,3.0883318,101.3857131
1339,21-10040186,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK DESA,KD SUNGAI SERDANG,"BATU 13, KAMPUNG SUNGAI SERDANG, KAPAR",,42200,,,,,3.1554615,101.3321972
1340,21-10040192,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK DESA,KD SUNGAI UDANG,"LOT 2183, JALAN SUNGAI UDANG",,41150,,,,,3.0405518,101.4121106
1341,21-10040194,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK DESA,KD TELOK GONG,"JALAN TELOK GONG, 
PELABUHAN KLANG",,42000,,,,,2.943901,101.3772982
1342,21-10040195,BUKA,AWAM,KKM,,SELANGOR,KLANG,KLINIK,KLINIK DESA,KD TELOK MENEGON,KLANG,,41000,,,,,3.0310931,101.4755116
1343,21-10050092,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD BATU LAUT,BATU LAUT,,42800,,,,,2.6810134,101.5127475
1344,21-10050120,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD KAMPUNG ENDAH,KAMPUNG ENDAH,,42700,,,,,2.7123536,101.4743591
1345,21-10050123,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD KAMPUNG JENJAROM,KAMPUNG JENJAROM,,42600,,,,,2.861692,101.4878714
1346,21-10050125,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD KAMPUNG MEDAN,"KAMPUNG MEDAN, BANTING",,42700,,,,,2.925734,101.4649009
1347,21-10050134,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD KANCHONG TENGAH,"KANCHONG TENGAH, BANTING",,42700,,,,,2.7494157,101.495003
1348,21-10050135,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD KELANANG,BANTING,,42700,,,,,2.799646,101.4431782
1349,21-10050139,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD KUNDANG,TANJUNG SEPAT,,42800,,,,,2.7023274,101.5475409
1350,21-10050140,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD LABOHAN DAGANG,"JKR 456, KUARTERS LABOHAN DAGANG, BANTING",,42700,,,,,2.8124,101.623651
1351,21-10050143,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD MORIB,BANTING,,42700,,,,,2.7495127,101.4426016
1352,21-10050144,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD OLAK LEMPIT,"OLAK LEMPIT, BANTING",,42700,,,,,2.835247,101.5949689
1353,21-10050155,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD PERMATANG PASIR,"PERMATANG PASIR, BANTING",,42700,,,,,2.838938,101.4362888
1354,21-10050169,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD SIJANGKANG DALAM,"SIJANGKANG DALAM,
TELUK PANGLIMA GARANG",,42500,,,,,2.9326767,101.4348337
1355,21-10050170,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD SIJANGKANG LUAR,"SIJANGKANG LUAR, 
TELUK PANGLIMA GARANG",,42500,,,,,2.9394142,101.4570076
1356,21-10050173,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD SRI CHEEDING,"SRI CHEEDING, BANTING",,42700,,,,,2.889848,101.5504409
1357,21-10050178,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD SUNGAI BUAYA,BANTING,,42700,,,,,2.8446912,101.4449168
1358,21-10050182,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD SUNGAI KELAMBU,"JALAN SEMARAK 1, KG SUNGAI KELAMBU, BANTING",,42700,,,,,2.790239,101.5488939
1359,21-10050199,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD TUMBUK DARAT,"JKR 1327, JALAN TUMBOK DARAT, KG TUMBOK DARAT TANJUNG SEPAT",,42800,,,,,2.6736875,101.5895625
1360,21-10050224,BUKA,AWAM,KKM,,SELANGOR,KUALA LANGAT,KLINIK,KLINIK DESA,KD TELOK BUNUT,BANTING,,42700,,,,,2.8226448,101.5114263
1361,21-10060080,BUKA,AWAM,KKM,,SELANGOR,KUALA SELANGOR,KLINIK,KLINIK DESA,KD ASAM JAWA,"JALAN BUKIT ROTAN, BUKIT ROTAN",,45700,,,,,3.292248,101.2941281
1362,21-10060081,BUKA,AWAM,KKM,,SELANGOR,KUALA SELANGOR,KLINIK,KLINIK DESA,KD BAGAN PASIR,"JALAN BAGAN PASIR, TANJONG KARANG",,45500,,,,,3.4100437,101.1755565
1364,21-10060096,BUKA,AWAM,KKM,,SELANGOR,KUALA SELANGOR,KLINIK,KLINIK DESA,KD BUKIT BADONG,JALAN DATO' KARJAN,,45600,,,,,3.3353549,101.3979118
